

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet48_1
optimizer          : adadelta
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet48_1_4

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [8, 5, 5, 5] 
C (# Channels)	: [64, 128, 128, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.41914541 ;	Train Accuracy: 13.474 ;	Test Loss: 2.32933059 ; 	Test Accuracy: 12.860 ;
Epoch: 2 ;	Train Loss: 2.24783208 ;	Train Accuracy: 16.762 ;	Test Loss: 2.21959666 ; 	Test Accuracy: 17.460 ;
Epoch: 3 ;	Train Loss: 2.09222448 ;	Train Accuracy: 22.416 ;	Test Loss: 1.98716104 ; 	Test Accuracy: 25.570 ;
Epoch: 4 ;	Train Loss: 1.93536157 ;	Train Accuracy: 27.950 ;	Test Loss: 1.85527020 ; 	Test Accuracy: 31.110 ;
Epoch: 5 ;	Train Loss: 1.83619271 ;	Train Accuracy: 31.388 ;	Test Loss: 1.76830440 ; 	Test Accuracy: 34.530 ;
Epoch: 6 ;	Train Loss: 1.76020965 ;	Train Accuracy: 34.168 ;	Test Loss: 1.68762862 ; 	Test Accuracy: 36.880 ;
Epoch: 7 ;	Train Loss: 1.69944525 ;	Train Accuracy: 35.980 ;	Test Loss: 1.63761834 ; 	Test Accuracy: 38.610 ;
Epoch: 8 ;	Train Loss: 1.65635337 ;	Train Accuracy: 37.846 ;	Test Loss: 1.59374339 ; 	Test Accuracy: 40.150 ;
Epoch: 9 ;	Train Loss: 1.61710574 ;	Train Accuracy: 39.444 ;	Test Loss: 1.55403852 ; 	Test Accuracy: 41.990 ;
Epoch: 10 ;	Train Loss: 1.58115870 ;	Train Accuracy: 40.870 ;	Test Loss: 1.51616442 ; 	Test Accuracy: 43.330 ;
Epoch: 11 ;	Train Loss: 1.54573832 ;	Train Accuracy: 42.360 ;	Test Loss: 1.49688189 ; 	Test Accuracy: 44.180 ;
