

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.2
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 37 ;	Train Loss: 0.13308506 ;	Train Accuracy: 95.307 ;	Val Loss: 0.39769542 ; 	Val Accuracy: 88.300 ;
Epoch: 38 ;	Train Loss: 0.12639831 ;	Train Accuracy: 95.642 ;	Val Loss: 0.35400132 ; 	Val Accuracy: 89.320 ;
Epoch: 39 ;	Train Loss: 0.12082422 ;	Train Accuracy: 95.811 ;	Val Loss: 0.55608072 ; 	Val Accuracy: 85.120 ;
Epoch: 40 ;	Train Loss: 0.12165175 ;	Train Accuracy: 95.836 ;	Val Loss: 0.40177897 ; 	Val Accuracy: 87.920 ;
Epoch: 41 ;	Train Loss: 0.11655886 ;	Train Accuracy: 95.927 ;	Val Loss: 0.37878618 ; 	Val Accuracy: 89.360 ;
Epoch: 42 ;	Train Loss: 0.11445161 ;	Train Accuracy: 96.007 ;	Val Loss: 0.44891770 ; 	Val Accuracy: 87.580 ;
Epoch: 43 ;	Train Loss: 0.11155002 ;	Train Accuracy: 96.176 ;	Val Loss: 0.51908759 ; 	Val Accuracy: 86.060 ;
Epoch: 44 ;	Train Loss: 0.10920601 ;	Train Accuracy: 96.262 ;	Val Loss: 0.44306417 ; 	Val Accuracy: 87.460 ;
Epoch: 45 ;	Train Loss: 0.10231762 ;	Train Accuracy: 96.518 ;	Val Loss: 0.41430254 ; 	Val Accuracy: 87.980 ;
Epoch: 46 ;	Train Loss: 0.10597978 ;	Train Accuracy: 96.349 ;	Val Loss: 0.36301082 ; 	Val Accuracy: 89.520 ;
Epoch: 47 ;	Train Loss: 0.10037795 ;	Train Accuracy: 96.556 ;	Val Loss: 0.44969429 ; 	Val Accuracy: 88.380 ;
Epoch: 48 ;	Train Loss: 0.10113383 ;	Train Accuracy: 96.502 ;	Val Loss: 0.39673491 ; 	Val Accuracy: 89.020 ;
Epoch: 49 ;	Train Loss: 0.10026598 ;	Train Accuracy: 96.553 ;	Val Loss: 0.50401082 ; 	Val Accuracy: 86.900 ;
Epoch: 50 ;	Train Loss: 0.09646157 ;	Train Accuracy: 96.676 ;	Val Loss: 0.38968392 ; 	Val Accuracy: 89.220 ;
Epoch: 51 ;	Train Loss: 0.09708442 ;	Train Accuracy: 96.667 ;	Val Loss: 0.43399944 ; 	Val Accuracy: 88.560 ;
Epoch: 52 ;	Train Loss: 0.09405699 ;	Train Accuracy: 96.807 ;	Val Loss: 0.43173878 ; 	Val Accuracy: 88.660 ;
Epoch: 53 ;	Train Loss: 0.09193785 ;	Train Accuracy: 96.838 ;	Val Loss: 0.37077672 ; 	Val Accuracy: 89.660 ;
Epoch: 54 ;	Train Loss: 0.09131048 ;	Train Accuracy: 96.820 ;	Val Loss: 0.42803322 ; 	Val Accuracy: 88.960 ;
Epoch: 55 ;	Train Loss: 0.09122196 ;	Train Accuracy: 97.022 ;	Val Loss: 0.42256472 ; 	Val Accuracy: 88.840 ;
Epoch: 56 ;	Train Loss: 0.08588340 ;	Train Accuracy: 97.100 ;	Val Loss: 0.40677944 ; 	Val Accuracy: 88.920 ;
Epoch: 57 ;	Train Loss: 0.08669172 ;	Train Accuracy: 97.120 ;	Val Loss: 0.42818321 ; 	Val Accuracy: 88.040 ;
Epoch: 58 ;	Train Loss: 0.08697144 ;	Train Accuracy: 97.138 ;	Val Loss: 0.46244857 ; 	Val Accuracy: 87.340 ;
Epoch: 59 ;	Train Loss: 0.08856032 ;	Train Accuracy: 96.980 ;	Val Loss: 0.40114595 ; 	Val Accuracy: 89.000 ;
Epoch: 60 ;	Train Loss: 0.08549758 ;	Train Accuracy: 97.038 ;	Val Loss: 0.51719778 ; 	Val Accuracy: 87.340 ;

Epochs: 60 ;	Test Loss: 0.54041219 ; 	Test Accuracy: 86.680 ;


Best Accuracy: 89.660

