

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adadelta
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_8

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 1.01419407 ;	Train Accuracy: 64.052 ;	Test Loss: 1.01409787 ; 	Test Accuracy: 64.110 ;
Epoch: 39 ;	Train Loss: 1.00904544 ;	Train Accuracy: 64.130 ;	Test Loss: 1.01087947 ; 	Test Accuracy: 64.350 ;
Epoch: 40 ;	Train Loss: 1.00299515 ;	Train Accuracy: 64.334 ;	Test Loss: 1.00006615 ; 	Test Accuracy: 64.740 ;
Epoch: 41 ;	Train Loss: 0.99252078 ;	Train Accuracy: 64.698 ;	Test Loss: 1.00271583 ; 	Test Accuracy: 64.830 ;
Epoch: 42 ;	Train Loss: 0.98373783 ;	Train Accuracy: 65.166 ;	Test Loss: 0.98930232 ; 	Test Accuracy: 64.960 ;
Epoch: 43 ;	Train Loss: 0.97763467 ;	Train Accuracy: 65.228 ;	Test Loss: 0.98033468 ; 	Test Accuracy: 65.470 ;
Epoch: 44 ;	Train Loss: 0.96540510 ;	Train Accuracy: 65.536 ;	Test Loss: 0.97012062 ; 	Test Accuracy: 65.750 ;
Epoch: 45 ;	Train Loss: 0.96159156 ;	Train Accuracy: 65.836 ;	Test Loss: 0.96987974 ; 	Test Accuracy: 65.950 ;
Epoch: 46 ;	Train Loss: 0.95644834 ;	Train Accuracy: 66.036 ;	Test Loss: 0.96008736 ; 	Test Accuracy: 66.340 ;
Epoch: 47 ;	Train Loss: 0.94522724 ;	Train Accuracy: 66.556 ;	Test Loss: 0.95543029 ; 	Test Accuracy: 66.300 ;
Epoch: 48 ;	Train Loss: 0.93793243 ;	Train Accuracy: 66.740 ;	Test Loss: 0.95359117 ; 	Test Accuracy: 66.250 ;
Epoch: 49 ;	Train Loss: 0.93110447 ;	Train Accuracy: 67.100 ;	Test Loss: 0.94168807 ; 	Test Accuracy: 66.560 ;
Epoch: 50 ;	Train Loss: 0.92468422 ;	Train Accuracy: 67.238 ;	Test Loss: 0.94192118 ; 	Test Accuracy: 66.670 ;


Best Accuracy: 66.670

Saving Error Plot...

Error Plot saved (ResNet16_1_8_error_plot.png)

