

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adam
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_9

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.14741357 ;	Train Accuracy: 21.528 ;	Test Loss: 3.80583919 ; 	Test Accuracy: 13.090 ;
Epoch: 2 ;	Train Loss: 1.87465040 ;	Train Accuracy: 28.302 ;	Test Loss: 4.72547691 ; 	Test Accuracy: 15.540 ;
Epoch: 3 ;	Train Loss: 1.85163158 ;	Train Accuracy: 28.764 ;	Test Loss: 2.29348593 ; 	Test Accuracy: 21.900 ;
Epoch: 4 ;	Train Loss: 1.85823808 ;	Train Accuracy: 28.304 ;	Test Loss: 2.10966017 ; 	Test Accuracy: 23.180 ;
Epoch: 5 ;	Train Loss: 1.83800269 ;	Train Accuracy: 28.916 ;	Test Loss: 2.36969820 ; 	Test Accuracy: 19.610 ;
Epoch: 6 ;	Train Loss: 1.83611212 ;	Train Accuracy: 29.206 ;	Test Loss: 2.05110867 ; 	Test Accuracy: 25.110 ;
Epoch: 7 ;	Train Loss: 1.83211847 ;	Train Accuracy: 29.350 ;	Test Loss: 3.33753802 ; 	Test Accuracy: 18.720 ;
Epoch: 8 ;	Train Loss: 1.80764486 ;	Train Accuracy: 30.236 ;	Test Loss: 5.21513487 ; 	Test Accuracy: 13.910 ;
Epoch: 9 ;	Train Loss: 1.78673358 ;	Train Accuracy: 31.988 ;	Test Loss: 5.62868019 ; 	Test Accuracy: 11.640 ;
Epoch: 10 ;	Train Loss: 1.77699040 ;	Train Accuracy: 32.370 ;	Test Loss: 4.08044191 ; 	Test Accuracy: 10.680 ;
Epoch: 11 ;	Train Loss: 1.77427314 ;	Train Accuracy: 32.648 ;	Test Loss: 10.72156275 ; 	Test Accuracy: 10.900 ;
Epoch: 12 ;	Train Loss: 1.76972991 ;	Train Accuracy: 32.986 ;	Test Loss: 2.92093620 ; 	Test Accuracy: 17.000 ;
