

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adam
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_10

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 0.24843395 ;	Train Accuracy: 91.562 ;	Test Loss: 0.47241292 ; 	Test Accuracy: 84.800 ;
Epoch: 39 ;	Train Loss: 0.25150741 ;	Train Accuracy: 91.498 ;	Test Loss: 0.44086804 ; 	Test Accuracy: 85.670 ;
Epoch: 40 ;	Train Loss: 0.24745246 ;	Train Accuracy: 91.348 ;	Test Loss: 0.39106681 ; 	Test Accuracy: 87.420 ;
Epoch: 41 ;	Train Loss: 0.24098921 ;	Train Accuracy: 91.622 ;	Test Loss: 0.36671623 ; 	Test Accuracy: 88.440 ;
Epoch: 42 ;	Train Loss: 0.23922146 ;	Train Accuracy: 91.850 ;	Test Loss: 0.40593725 ; 	Test Accuracy: 86.770 ;
Epoch: 43 ;	Train Loss: 0.24188775 ;	Train Accuracy: 91.710 ;	Test Loss: 0.32641916 ; 	Test Accuracy: 89.190 ;
Epoch: 44 ;	Train Loss: 0.23677812 ;	Train Accuracy: 91.802 ;	Test Loss: 0.34404242 ; 	Test Accuracy: 88.910 ;
Epoch: 45 ;	Train Loss: 0.24045937 ;	Train Accuracy: 91.714 ;	Test Loss: 0.40899504 ; 	Test Accuracy: 86.630 ;
Epoch: 46 ;	Train Loss: 0.23858922 ;	Train Accuracy: 91.808 ;	Test Loss: 0.33273256 ; 	Test Accuracy: 89.180 ;
Epoch: 47 ;	Train Loss: 0.23330655 ;	Train Accuracy: 91.874 ;	Test Loss: 0.34583442 ; 	Test Accuracy: 89.300 ;
