

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : sgd
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_2

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 39 ;	Train Loss: 0.14130857 ;	Train Accuracy: 95.076 ;	Test Loss: 0.42278608 ;	Test Accuracy: 87.360 ;
Epoch: 40 ;	Train Loss: 0.13320528 ;	Train Accuracy: 95.330 ;	Test Loss: 0.37874484 ;	Test Accuracy: 89.030 ;
Epoch: 41 ;	Train Loss: 0.12976142 ;	Train Accuracy: 95.456 ;	Test Loss: 0.42174862 ;	Test Accuracy: 87.670 ;
Epoch: 42 ;	Train Loss: 0.12739806 ;	Train Accuracy: 95.598 ;	Test Loss: 0.42692005 ;	Test Accuracy: 88.020 ;
Epoch: 43 ;	Train Loss: 0.11779387 ;	Train Accuracy: 95.962 ;	Test Loss: 0.40006489 ;	Test Accuracy: 88.620 ;
Epoch: 44 ;	Train Loss: 0.11241254 ;	Train Accuracy: 96.046 ;	Test Loss: 0.44419674 ;	Test Accuracy: 87.830 ;
Epoch: 45 ;	Train Loss: 0.11291277 ;	Train Accuracy: 96.090 ;	Test Loss: 0.40398085 ;	Test Accuracy: 88.510 ;
Epoch: 46 ;	Train Loss: 0.11140596 ;	Train Accuracy: 96.072 ;	Test Loss: 0.42172866 ;	Test Accuracy: 88.210 ;
Epoch: 47 ;	Train Loss: 0.10806956 ;	Train Accuracy: 96.142 ;	Test Loss: 0.41388209 ;	Test Accuracy: 88.640 ;
Epoch: 48 ;	Train Loss: 0.09673923 ;	Train Accuracy: 96.628 ;	Test Loss: 0.40883785 ;	Test Accuracy: 88.610 ;
Epoch: 49 ;	Train Loss: 0.09257954 ;	Train Accuracy: 96.758 ;	Test Loss: 0.43236984 ;	Test Accuracy: 88.240 ;
Epoch: 50 ;	Train Loss: 0.08863580 ;	Train Accuracy: 96.896 ;	Test Loss: 0.41917249 ;	Test Accuracy: 88.660 ;


Best Accuracy: 89.030

Saving Error Plot...

Error Plot saved (ResNet16_1_2_error_plot.png)

