

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adagrad
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_6

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 38 ;	Train Loss: 0.24155320 ;	Train Accuracy: 91.870 ;	Test Loss: 0.46917040 ; 	Test Accuracy: 84.760 ;
Epoch: 39 ;	Train Loss: 0.23410641 ;	Train Accuracy: 92.140 ;	Test Loss: 0.47203842 ; 	Test Accuracy: 84.260 ;
Epoch: 40 ;	Train Loss: 0.22669423 ;	Train Accuracy: 92.390 ;	Test Loss: 0.46447571 ; 	Test Accuracy: 85.030 ;
Epoch: 41 ;	Train Loss: 0.22497914 ;	Train Accuracy: 92.434 ;	Test Loss: 0.46578110 ; 	Test Accuracy: 84.940 ;
Epoch: 42 ;	Train Loss: 0.22129330 ;	Train Accuracy: 92.606 ;	Test Loss: 0.47177728 ; 	Test Accuracy: 84.860 ;
Epoch: 43 ;	Train Loss: 0.21356173 ;	Train Accuracy: 92.818 ;	Test Loss: 0.45999906 ; 	Test Accuracy: 85.080 ;
Epoch: 44 ;	Train Loss: 0.21019248 ;	Train Accuracy: 93.096 ;	Test Loss: 0.45984615 ; 	Test Accuracy: 85.220 ;
Epoch: 45 ;	Train Loss: 0.20984140 ;	Train Accuracy: 92.960 ;	Test Loss: 0.45602039 ; 	Test Accuracy: 85.390 ;
Epoch: 46 ;	Train Loss: 0.20258177 ;	Train Accuracy: 93.300 ;	Test Loss: 0.47551006 ; 	Test Accuracy: 84.690 ;
Epoch: 47 ;	Train Loss: 0.20025574 ;	Train Accuracy: 93.284 ;	Test Loss: 0.46374686 ; 	Test Accuracy: 85.360 ;
Epoch: 48 ;	Train Loss: 0.19528242 ;	Train Accuracy: 93.582 ;	Test Loss: 0.46975947 ; 	Test Accuracy: 85.040 ;
Epoch: 49 ;	Train Loss: 0.19234564 ;	Train Accuracy: 93.638 ;	Test Loss: 0.46823870 ; 	Test Accuracy: 84.900 ;
Epoch: 50 ;	Train Loss: 0.18690559 ;	Train Accuracy: 93.712 ;	Test Loss: 0.46625582 ; 	Test Accuracy: 85.480 ;


Best Accuracy: 85.480

Saving Error Plot...

Error Plot saved (ResNet16_1_6_error_plot.png)

